Scene,entropy,si,ti,lap_var,lap_var_var,lap_p25,lap_p50,lap_p75,sharpness,thrash_hold
AoT1920x1080.mov_27,7.4399150955414015,41.38708418455771,1.8328028755715131,240.90512200656886,100358.00644766272,-1.8789808917197452,0.0,1.7515923566878981,2,1
AoT1920x1080.mov_28,7.386362317460318,56.28055599810676,5.272005989876767,268.227778540681,107163.07759788573,-1.7724867724867726,0.0,1.6402116402116402,2,1
AoT1920x1080.mov_29,7.439261909090909,25.34263476946592,5.515319787085485,208.037207518308,59624.17781400083,-1.7348484848484849,0.0,1.553030303030303,2,0
AoT1920x1080.mov_30,7.432033814814814,31.165737048952025,3.2879318305402667,258.3537422018954,107300.33129255603,-1.8042328042328042,0.0,1.7037037037037037,2,1
AoT1920x1080.mov_31,7.377663191919192,30.350584087981183,4.440245051930254,277.2380940929212,126570.62398762765,-1.878787878787879,0.0,1.7474747474747474,1,1
AoT1920x1080.mov_32,7.495560907079646,51.84065840094271,2.5801722009909405,217.84531548766805,121505.5432816241,-1.8185840707964602,0.0,1.663716814159292,3,1
AoT1920x1080.mov_33,7.288768263888889,54.65438561708475,2.783544162329357,354.8894622972957,163224.97182767442,-2.0416666666666665,0.0,1.8611111111111112,2,1
AoT1920x1080.mov_34,7.298783577777778,41.49157332897136,2.4751325542734524,215.87398809503708,111907.16734852259,-1.9444444444444444,0.0,1.7833333333333334,2,2
AoT1920x1080.mov_35,7.389961355555555,34.27406759082406,2.676721839710255,303.6464773928166,134779.3936559955,-1.6444444444444444,0.0,1.511111111111111,2,2
AoT1920x1080.mov_36,7.355813966666667,54.44967345050255,3.6969348301930816,228.47522755639213,66160.84070323393,-1.6583333333333334,0.0,1.4916666666666667,2,2
AoT1920x1080.mov_37,7.352967948717949,30.57376934170351,2.824144924287956,187.36651265687544,44590.95676079713,-1.7820512820512822,0.0,1.6666666666666667,2,2
AoT1920x1080.mov_38,7.237934166666666,35.66421321402775,2.2066525415793894,141.79408565546208,26686.319680465782,-1.7083333333333333,0.0,1.5833333333333333,2,2
AoT1920x1080.mov_39,7.366977928571429,30.93495290271001,1.8905395441675448,162.3591407498667,28986.42013099363,-1.7619047619047619,0.0,1.6666666666666667,2,2
AoT1920x1080.mov_40,7.388218397058823,37.909745034352284,6.89331387575536,184.7959787341621,50478.93744807509,-1.7352941176470589,0.0,1.6323529411764706,2,1
AoT1920x1080.mov_41,7.569922342105263,58.562796548157756,3.316504851497805,257.0750397419182,115681.46894508583,-1.6228070175438596,0.0,1.4385964912280702,2,2
AoT1920x1080.mov_42,7.407284287769784,38.283280573404085,1.1224967849483605,193.33165663172525,68847.57713565641,-1.6978417266187051,0.0,1.60431654676259,2,2
AoT1920x1080.mov_43,7.432407472222223,33.119986914086,4.8770403132109115,265.16333203124043,137283.51077628776,-1.7777777777777777,0.0,1.6944444444444444,2,2
AoT1920x1080.mov_44,7.4878264861111115,57.02542004401831,2.548275434839335,377.61349991493785,190272.500638035,-2.0833333333333335,0.0,1.9027777777777777,2,2
AoT1920x1080.mov_45,6.806260229166667,31.152704895017678,1.7310891183894945,277.4545541281407,190586.46112458417,-2.4583333333333335,0.0,2.1041666666666665,3,1
