Scene,entropy,si,ti,lap_var,lap_var_var,lap_p25,lap_p50,lap_p75,sharpness,thrash_hold
AoT1920x1080.mov_232,6.812163882352941,24.625430895440868,8.383588873661033,203.34453648038598,90547.6435456397,-1.6470588235294117,0.0,1.5686274509803921,2,-1
AoT1920x1080.mov_233,6.287246878504673,18.543247689377026,6.076725770655136,201.64232316495966,73339.13651261941,-1.8738317757009346,0.0,1.7757009345794392,0,0
AoT1920x1080.mov_234,7.1955616000000004,4.853457984275978,7.79129985522547,246.38530633479257,40072.90433764179,-1.6,0.0,1.4,2,2
AoT1920x1080.mov_235,6.8058411557377045,17.823897975043902,5.1485608339173705,271.7588601180865,109526.66237093614,-1.75,0.0,1.5942622950819672,1,1
AoT1920x1080.mov_236,7.272398815789474,19.62181628485829,2.346420470050093,276.5337299636931,106252.89646289778,-1.6842105263157894,0.0,1.543859649122807,2,1
AoT1920x1080.mov_237,7.199189577777778,20.62957410709079,4.381158584533966,173.2435136618394,59398.12108492831,-1.7444444444444445,0.0,1.6555555555555554,2,1
AoT1920x1080.mov_238,6.7897284523809525,16.96447998287725,3.0644894924376325,209.42176385849996,77582.84339044416,-1.9761904761904763,0.0,1.869047619047619,3,0
AoT1920x1080.mov_239,6.6395665,31.001178473393434,1.9363331075282157,176.4566027424653,29040.586461705298,-1.75,0.0,1.75,1,0
AoT1920x1080.mov_240,6.54880464,22.168370304154166,3.7330879800420615,198.93232727676073,78807.13174711494,-1.7244444444444444,0.0,1.6133333333333333,2,0
AoT1920x1080.mov_241,6.633622722222222,16.381258327711077,2.712172848962532,352.299503809644,239006.28858794473,-2.138888888888889,0.0,1.9166666666666667,3,0
AoT1920x1080.mov_242,7.389597642857143,15.19251386197491,2.7055701155675593,247.22978095562672,118439.26895758149,-1.8452380952380953,0.0,1.7380952380952381,1,0
AoT1920x1080.mov_243,7.1398992037037035,7.820154660733149,1.0629399274373053,181.14674024360653,48721.6988199017,-1.7314814814814814,0.0,1.6203703703703705,2,1
AoT1920x1080.mov_244,6.770712959183673,14.83690899052681,8.015268109064516,228.6303758260075,77486.08419707156,-1.6326530612244898,0.0,1.489795918367347,2,1
AoT1920x1080.mov_245,6.189626078947368,16.520768994165618,3.47836204894624,259.7124837451935,140263.02489375978,-1.6842105263157894,0.0,1.5263157894736843,2,1
AoT1920x1080.mov_246,6.102865318181818,17.015992543902318,6.111044582416596,143.88346560030925,26065.533931134465,-1.6515151515151516,0.0,1.5757575757575757,2,0
AoT1920x1080.mov_247,6.157981041666667,17.44780194620613,7.221494491505468,173.84226955023874,50087.15446859321,-1.7916666666666667,0.0,1.6875,2,-1
AoT1920x1080.mov_248,6.562236866666667,9.929443462453111,6.194775230702278,185.52798439691728,47398.68927683838,-1.75,0.0,1.6166666666666667,1,0
AoT1920x1080.mov_249,6.874106958333333,10.134082995423727,10.035949432704632,199.03711386678802,90788.95034277749,-1.6666666666666667,0.0,1.5833333333333333,1,-1
AoT1920x1080.mov_250,7.348628,3.097850198482881,27.687256017329098,224.22385704633902,0.0,-1.0,0.0,1.0,1,-2
AoT1920x1080.mov_251,7.151951545454545,8.817671433563895,19.574640514131385,224.44471465500294,56003.323167463735,-1.4545454545454546,0.0,1.4545454545454546,-1,-1
AoT1920x1080.mov_252,6.986047,11.671761931799786,17.659564991426794,254.7320545160043,79474.64661013082,-1.6,0.0,1.3333333333333333,0,-2
AoT1920x1080.mov_253,6.981421,20.310053798379442,21.438669673974776,251.19416629232035,2387.415362297836,-2.5,0.0,2.5,-1,1
AoT1920x1080.mov_254,6.825112083333333,9.774499439518971,23.510890226957383,206.67818060034313,34449.71765328143,-1.6666666666666667,0.0,1.5833333333333333,0,-1
AoT1920x1080.mov_255,7.239538875,5.349110314531133,20.015098084167242,198.09038374832284,75145.95271584591,-1.375,0.0,1.375,0,-1
AoT1920x1080.mov_256,7.101394,4.248407103577862,26.645805103720686,52.43042505316914,0.06120217837012536,-2.0,0.0,2.0,-1,-1
